side weight,sensitivity,threshold,buf size,gamma
8.0,3.0,5.0,16,0.95
8.0,2.0,7.0,12,0.96
6.0,2.0,6.0,12,0.95
6.0,2.5,6.0,12,0.99
6.0,2.5,6.0,12,0.97
7.0,2.0,7.0,12,0.95
9.0,2.5,6.0,12,0.95
8.0,2.0,7.0,16,0.96
8.0,2.5,6.0,12,0.98
8.0,2.0,7.0,16,0.95
9.0,2.0,7.0,12,0.96
7.0,2.0,6.0,16,0.96
9.0,2.0,7.0,12,0.97
8.0,2.0,7.0,12,0.98
7.0,2.0,7.0,12,0.98
6.0,2.0,5.0,16,0.95
9.0,2.5,6.0,12,0.99
10.0,2.0,7.0,12,0.98
8.0,2.5,6.0,12,0.99
8.0,2.0,6.0,16,0.97
10.0,2.0,7.0,12,0.99
8.0,2.0,7.0,12,0.99
10.0,2.5,6.0,16,0.96
9.0,2.0,5.0,16,0.95
9.0,2.0,7.0,16,0.97
10.0,2.5,6.0,12,0.99
6.0,2.5,5.0,16,0.96
6.0,2.5,5.0,16,0.95
9.0,2.0,7.0,16,0.95
6.0,2.0,6.0,12,0.99
9.0,2.5,5.0,16,0.95
9.0,2.5,6.0,16,0.96
9.0,2.5,5.0,12,0.95
9.0,2.5,5.0,16,0.96
9.0,2.0,7.0,12,0.99
8.0,2.5,6.0,16,0.96
6.0,2.5,6.0,16,0.97
7.0,2.5,6.0,20,0.95
10.0,2.0,6.0,12,0.98
8.0,2.5,5.0,12,0.95
10.0,2.0,6.0,12,0.99
7.0,2.5,5.0,16,0.96
9.0,2.0,5.0,16,0.96
10.0,2.5,5.0,16,0.96
8.0,2.5,5.0,12,0.96
7.0,2.0,6.0,12,0.98
6.0,2.5,5.0,12,0.95
8.0,2.5,6.0,20,0.95
7.0,2.5,6.0,16,0.95
6.0,2.5,6.0,16,0.96
10.0,2.5,5.0,16,0.97
10.0,2.0,5.0,16,0.96
7.0,3.0,5.0,12,0.96
8.0,2.5,5.0,16,0.96
10.0,3.0,5.0,12,0.96
7.0,2.5,5.0,16,0.97
9.0,2.5,6.0,20,0.95
8.0,2.5,6.0,16,0.95
9.0,3.0,5.0,16,0.95
7.0,2.5,6.0,16,0.97
6.0,3.0,5.0,12,0.96
7.0,2.5,5.0,12,0.96
8.0,2.5,5.0,12,0.97
8.0,3.0,5.0,12,0.96
6.0,2.5,5.0,16,0.97
9.0,2.5,6.0,16,0.95
10.0,2.5,6.0,16,0.95
9.0,2.0,6.0,32,0.95
10.0,3.0,5.0,12,0.97
9.0,2.5,5.0,12,0.96
9.0,2.5,5.0,16,0.97
6.0,2.5,5.0,12,0.96
8.0,2.5,5.0,12,0.98
9.0,2.5,5.0,12,0.97
10.0,2.5,5.0,12,0.98
10.0,2.5,5.0,12,0.97
8.0,2.5,5.0,12,0.99
9.0,3.0,5.0,12,0.97
6.0,2.5,6.0,16,0.95
6.0,2.5,5.0,12,0.98
6.0,2.0,5.0,12,0.98
9.0,2.5,5.0,12,0.98
7.0,2.5,5.0,12,0.99
6.0,3.0,5.0,12,0.98
9.0,2.5,5.0,12,0.99
10.0,2.5,5.0,12,0.99
8.0,3.0,5.0,12,0.98
8.0,2.5,5.0,16,0.97
