frame,side weight,sensitivity,threshold,buf size,gamma,goal
110,6.0,0.5,5.0,8,0.95,0
110,6.0,0.5,5.0,8,0.96,0
110,6.0,0.5,5.0,8,0.97,0
110,6.0,0.5,5.0,8,0.98,0
110,6.0,0.5,5.0,8,0.99,0
112,6.0,0.5,5.0,12,0.95,0
112,6.0,0.5,5.0,12,0.96,0
114,6.0,0.5,5.0,12,0.97,0
114,6.0,0.5,5.0,12,0.98,0
114,6.0,0.5,5.0,12,0.99,0
115,6.0,0.5,5.0,16,0.95,0
115,6.0,0.5,5.0,16,0.96,0
114,6.0,0.5,5.0,16,0.97,0
114,6.0,0.5,5.0,16,0.98,0
114,6.0,0.5,5.0,16,0.99,0
113,6.0,0.5,5.0,20,0.95,0
113,6.0,0.5,5.0,20,0.96,0
112,6.0,0.5,5.0,20,0.97,0
113,6.0,0.5,5.0,20,0.98,0
112,6.0,0.5,5.0,20,0.99,0
112,6.0,0.5,5.0,24,0.95,0
112,6.0,0.5,5.0,24,0.96,0
112,6.0,0.5,5.0,24,0.97,0
111,6.0,0.5,5.0,24,0.98,0
110,6.0,0.5,5.0,24,0.99,0
111,6.0,0.5,5.0,28,0.95,0
110,6.0,0.5,5.0,28,0.96,0
110,6.0,0.5,5.0,28,0.97,0
110,6.0,0.5,5.0,28,0.98,0
110,6.0,0.5,5.0,28,0.99,0
110,6.0,0.5,5.0,32,0.95,0
110,6.0,0.5,5.0,32,0.96,0
110,6.0,0.5,5.0,32,0.97,0
110,6.0,0.5,5.0,32,0.98,0
110,6.0,0.5,5.0,32,0.99,0
116,6.0,0.5,6.0,8,0.95,0
116,6.0,0.5,6.0,8,0.96,0
116,6.0,0.5,6.0,8,0.97,0
116,6.0,0.5,6.0,8,0.98,0
116,6.0,0.5,6.0,8,0.99,0
492,6.0,0.5,6.0,12,0.95,0
489,6.0,0.5,6.0,12,0.96,0
490,6.0,0.5,6.0,12,0.97,0
490,6.0,0.5,6.0,12,0.98,0
485,6.0,0.5,6.0,12,0.99,0
485,6.0,0.5,6.0,16,0.95,0
485,6.0,0.5,6.0,16,0.96,0
484,6.0,0.5,6.0,16,0.97,0
481,6.0,0.5,6.0,16,0.98,0
480,6.0,0.5,6.0,16,0.99,0
480,6.0,0.5,6.0,20,0.95,0
479,6.0,0.5,6.0,20,0.96,0
479,6.0,0.5,6.0,20,0.97,0
476,6.0,0.5,6.0,20,0.98,0
477,6.0,0.5,6.0,20,0.99,0
116,6.0,0.5,6.0,24,0.95,0
115,6.0,0.5,6.0,24,0.96,0
114,6.0,0.5,6.0,24,0.97,0
113,6.0,0.5,6.0,24,0.98,0
111,6.0,0.5,6.0,24,0.99,0
112,6.0,0.5,6.0,28,0.95,0
112,6.0,0.5,6.0,28,0.96,0
110,6.0,0.5,6.0,28,0.97,0
110,6.0,0.5,6.0,28,0.98,0
110,6.0,0.5,6.0,28,0.99,0
110,6.0,0.5,6.0,32,0.95,0
110,6.0,0.5,6.0,32,0.96,0
110,6.0,0.5,6.0,32,0.97,0
110,6.0,0.5,6.0,32,0.98,0
110,6.0,0.5,6.0,32,0.99,0
485,6.0,0.5,7.0,8,0.95,0
487,6.0,0.5,7.0,8,0.96,0
485,6.0,0.5,7.0,8,0.97,0
485,6.0,0.5,7.0,8,0.98,0
487,6.0,0.5,7.0,8,0.99,0
488,6.0,0.5,7.0,12,0.95,0
490,6.0,0.5,7.0,12,0.96,0
487,6.0,0.5,7.0,12,0.97,0
486,6.0,0.5,7.0,12,0.98,0
487,6.0,0.5,7.0,12,0.99,0
486,6.0,0.5,7.0,16,0.95,0
485,6.0,0.5,7.0,16,0.96,0
484,6.0,0.5,7.0,16,0.97,0
483,6.0,0.5,7.0,16,0.98,0
482,6.0,0.5,7.0,16,0.99,0
482,6.0,0.5,7.0,20,0.95,0
479,6.0,0.5,7.0,20,0.96,0
478,6.0,0.5,7.0,20,0.97,0
477,6.0,0.5,7.0,20,0.98,0
475,6.0,0.5,7.0,20,0.99,0
116,6.0,0.5,7.0,24,0.95,0
115,6.0,0.5,7.0,24,0.96,0
114,6.0,0.5,7.0,24,0.97,0
113,6.0,0.5,7.0,24,0.98,0
111,6.0,0.5,7.0,24,0.99,0
113,6.0,0.5,7.0,28,0.95,0
112,6.0,0.5,7.0,28,0.96,0
110,6.0,0.5,7.0,28,0.97,0
110,6.0,0.5,7.0,28,0.98,0
110,6.0,0.5,7.0,28,0.99,0
110,6.0,0.5,7.0,32,0.95,0
110,6.0,0.5,7.0,32,0.96,0
110,6.0,0.5,7.0,32,0.97,0
110,6.0,0.5,7.0,32,0.98,0
110,6.0,0.5,7.0,32,0.99,0
113,7.0,0.5,5.0,8,0.95,0
113,7.0,0.5,5.0,8,0.96,0
113,7.0,0.5,5.0,8,0.97,0
113,7.0,0.5,5.0,8,0.98,0
113,7.0,0.5,5.0,8,0.99,0
115,7.0,0.5,5.0,12,0.95,0
115,7.0,0.5,5.0,12,0.96,0
116,7.0,0.5,5.0,12,0.97,0
116,7.0,0.5,5.0,12,0.98,0
116,7.0,0.5,5.0,12,0.99,0
114,7.0,0.5,5.0,16,0.95,0
114,7.0,0.5,5.0,16,0.96,0
114,7.0,0.5,5.0,16,0.97,0
113,7.0,0.5,5.0,16,0.98,0
113,7.0,0.5,5.0,16,0.99,0
113,7.0,0.5,5.0,20,0.95,0
112,7.0,0.5,5.0,20,0.96,0
112,7.0,0.5,5.0,20,0.97,0
112,7.0,0.5,5.0,20,0.98,0
112,7.0,0.5,5.0,20,0.99,0
111,7.0,0.5,5.0,24,0.95,0
112,7.0,0.5,5.0,24,0.96,0
111,7.0,0.5,5.0,24,0.97,0
111,7.0,0.5,5.0,24,0.98,0
110,7.0,0.5,5.0,24,0.99,0
111,7.0,0.5,5.0,28,0.95,0
110,7.0,0.5,5.0,28,0.96,0
110,7.0,0.5,5.0,28,0.97,0
110,7.0,0.5,5.0,28,0.98,0
110,7.0,0.5,5.0,28,0.99,0
110,7.0,0.5,5.0,32,0.95,0
110,7.0,0.5,5.0,32,0.96,0
110,7.0,0.5,5.0,32,0.97,0
110,7.0,0.5,5.0,32,0.98,0
110,7.0,0.5,5.0,32,0.99,0
116,7.0,0.5,6.0,8,0.95,0
116,7.0,0.5,6.0,8,0.96,0
495,7.0,0.5,6.0,8,0.97,0
495,7.0,0.5,6.0,8,0.98,0
495,7.0,0.5,6.0,8,0.99,0
490,7.0,0.5,6.0,12,0.95,0
489,7.0,0.5,6.0,12,0.96,0
490,7.0,0.5,6.0,12,0.97,0
488,7.0,0.5,6.0,12,0.98,0
488,7.0,0.5,6.0,12,0.99,0
486,7.0,0.5,6.0,16,0.95,0
485,7.0,0.5,6.0,16,0.96,0
484,7.0,0.5,6.0,16,0.97,0
482,7.0,0.5,6.0,16,0.98,0
482,7.0,0.5,6.0,16,0.99,0
479,7.0,0.5,6.0,20,0.95,0
480,7.0,0.5,6.0,20,0.96,0
478,7.0,0.5,6.0,20,0.97,0
478,7.0,0.5,6.0,20,0.98,0
477,7.0,0.5,6.0,20,0.99,0
116,7.0,0.5,6.0,24,0.95,0
115,7.0,0.5,6.0,24,0.96,0
114,7.0,0.5,6.0,24,0.97,0
113,7.0,0.5,6.0,24,0.98,0
111,7.0,0.5,6.0,24,0.99,0
112,7.0,0.5,6.0,28,0.95,0
112,7.0,0.5,6.0,28,0.96,0
110,7.0,0.5,6.0,28,0.97,0
110,7.0,0.5,6.0,28,0.98,0
110,7.0,0.5,6.0,28,0.99,0
110,7.0,0.5,6.0,32,0.95,0
110,7.0,0.5,6.0,32,0.96,0
110,7.0,0.5,6.0,32,0.97,0
110,7.0,0.5,6.0,32,0.98,0
110,7.0,0.5,6.0,32,0.99,0
489,7.0,0.5,7.0,8,0.95,0
488,7.0,0.5,7.0,8,0.96,0
488,7.0,0.5,7.0,8,0.97,0
488,7.0,0.5,7.0,8,0.98,0
486,7.0,0.5,7.0,8,0.99,0
490,7.0,0.5,7.0,12,0.95,0
488,7.0,0.5,7.0,12,0.96,0
488,7.0,0.5,7.0,12,0.97,0
488,7.0,0.5,7.0,12,0.98,0
489,7.0,0.5,7.0,12,0.99,0
489,7.0,0.5,7.0,16,0.95,0
488,7.0,0.5,7.0,16,0.96,0
482,7.0,0.5,7.0,16,0.97,0
483,7.0,0.5,7.0,16,0.98,0
482,7.0,0.5,7.0,16,0.99,0
481,7.0,0.5,7.0,20,0.95,0
479,7.0,0.5,7.0,20,0.96,0
478,7.0,0.5,7.0,20,0.97,0
478,7.0,0.5,7.0,20,0.98,0
476,7.0,0.5,7.0,20,0.99,0
116,7.0,0.5,7.0,24,0.95,0
115,7.0,0.5,7.0,24,0.96,0
114,7.0,0.5,7.0,24,0.97,0
113,7.0,0.5,7.0,24,0.98,0
111,7.0,0.5,7.0,24,0.99,0
113,7.0,0.5,7.0,28,0.95,0
112,7.0,0.5,7.0,28,0.96,0
110,7.0,0.5,7.0,28,0.97,0
110,7.0,0.5,7.0,28,0.98,0
110,7.0,0.5,7.0,28,0.99,0
110,7.0,0.5,7.0,32,0.95,0
110,7.0,0.5,7.0,32,0.96,0
