frame,side weight,sensitivity,threshold,buf size,gamma,goal
525,6.0,0.5,5.0,8,0.95,0
526,6.0,0.5,5.0,8,0.96,0
525,6.0,0.5,5.0,8,0.97,0
525,6.0,0.5,5.0,8,0.98,0
524,6.0,0.5,5.0,8,0.99,0
192,6.0,0.5,5.0,12,0.95,0
192,6.0,0.5,5.0,12,0.96,0
192,6.0,0.5,5.0,12,0.97,0
192,6.0,0.5,5.0,12,0.98,0
192,6.0,0.5,5.0,12,0.99,0
192,6.0,0.5,5.0,16,0.95,0
192,6.0,0.5,5.0,16,0.96,0
192,6.0,0.5,5.0,16,0.97,0
192,6.0,0.5,5.0,16,0.98,0
192,6.0,0.5,5.0,16,0.99,0
192,6.0,0.5,5.0,20,0.95,0
192,6.0,0.5,5.0,20,0.96,0
192,6.0,0.5,5.0,20,0.97,0
192,6.0,0.5,5.0,20,0.98,0
192,6.0,0.5,5.0,20,0.99,0
192,6.0,0.5,5.0,24,0.95,0
192,6.0,0.5,5.0,24,0.96,0
192,6.0,0.5,5.0,24,0.97,0
192,6.0,0.5,5.0,24,0.98,0
192,6.0,0.5,5.0,24,0.99,0
192,6.0,0.5,5.0,28,0.95,0
192,6.0,0.5,5.0,28,0.96,0
192,6.0,0.5,5.0,28,0.97,0
192,6.0,0.5,5.0,28,0.98,0
192,6.0,0.5,5.0,28,0.99,0
192,6.0,0.5,5.0,32,0.95,0
192,6.0,0.5,5.0,32,0.96,0
192,6.0,0.5,5.0,32,0.97,0
192,6.0,0.5,5.0,32,0.98,0
193,6.0,0.5,5.0,32,0.99,0
503,6.0,0.5,6.0,8,0.95,0
503,6.0,0.5,6.0,8,0.96,0
503,6.0,0.5,6.0,8,0.97,0
503,6.0,0.5,6.0,8,0.98,0
503,6.0,0.5,6.0,8,0.99,0
504,6.0,0.5,6.0,12,0.95,0
504,6.0,0.5,6.0,12,0.96,0
503,6.0,0.5,6.0,12,0.97,0
504,6.0,0.5,6.0,12,0.98,0
507,6.0,0.5,6.0,12,0.99,0
507,6.0,0.5,6.0,16,0.95,0
506,6.0,0.5,6.0,16,0.96,0
507,6.0,0.5,6.0,16,0.97,0
510,6.0,0.5,6.0,16,0.98,0
511,6.0,0.5,6.0,16,0.99,0
511,6.0,0.5,6.0,20,0.95,0
222,6.0,0.5,6.0,20,0.96,0
221,6.0,0.5,6.0,20,0.97,0
219,6.0,0.5,6.0,20,0.98,0
218,6.0,0.5,6.0,20,0.99,0
223,6.0,0.5,6.0,24,0.95,0
222,6.0,0.5,6.0,24,0.96,0
219,6.0,0.5,6.0,24,0.97,0
219,6.0,0.5,6.0,24,0.98,0
217,6.0,0.5,6.0,24,0.99,0
220,6.0,0.5,6.0,28,0.95,0
218,6.0,0.5,6.0,28,0.96,0
218,6.0,0.5,6.0,28,0.97,0
198,6.0,0.5,6.0,28,0.98,0
199,6.0,0.5,6.0,28,0.99,0
221,6.0,0.5,6.0,32,0.95,0
219,6.0,0.5,6.0,32,0.96,0
199,6.0,0.5,6.0,32,0.97,0
195,6.0,0.5,6.0,32,0.98,0
195,6.0,0.5,6.0,32,0.99,0
200,6.0,0.5,7.0,8,0.95,0
200,6.0,0.5,7.0,8,0.96,0
200,6.0,0.5,7.0,8,0.97,0
200,6.0,0.5,7.0,8,0.98,0
200,6.0,0.5,7.0,8,0.99,0
483,6.0,0.5,7.0,12,0.95,0
482,6.0,0.5,7.0,12,0.96,0
482,6.0,0.5,7.0,12,0.97,0
480,6.0,0.5,7.0,12,0.98,0
482,6.0,0.5,7.0,12,0.99,0
478,6.0,0.5,7.0,16,0.95,0
475,6.0,0.5,7.0,16,0.96,0
477,6.0,0.5,7.0,16,0.97,0
478,6.0,0.5,7.0,16,0.98,0
478,6.0,0.5,7.0,16,0.99,0
473,6.0,0.5,7.0,20,0.95,0
473,6.0,0.5,7.0,20,0.96,0
478,6.0,0.5,7.0,20,0.97,0
476,6.0,0.5,7.0,20,0.98,0
480,6.0,0.5,7.0,20,0.99,0
470,6.0,0.5,7.0,24,0.95,0
477,6.0,0.5,7.0,24,0.96,0
475,6.0,0.5,7.0,24,0.97,0
474,6.0,0.5,7.0,24,0.98,0
482,6.0,0.5,7.0,24,0.99,0
472,6.0,0.5,7.0,28,0.95,0
479,6.0,0.5,7.0,28,0.96,0
480,6.0,0.5,7.0,28,0.97,0
481,6.0,0.5,7.0,28,0.98,0
221,6.0,0.5,7.0,28,0.99,0
475,6.0,0.5,7.0,32,0.95,0
476,6.0,0.5,7.0,32,0.96,0
228,6.0,0.5,7.0,32,0.97,0
201,6.0,0.5,7.0,32,0.98,0
198,6.0,0.5,7.0,32,0.99,0
526,7.0,0.5,5.0,8,0.95,0
525,7.0,0.5,5.0,8,0.96,0
525,7.0,0.5,5.0,8,0.97,0
525,7.0,0.5,5.0,8,0.98,0
525,7.0,0.5,5.0,8,0.99,0
192,7.0,0.5,5.0,12,0.95,0
192,7.0,0.5,5.0,12,0.96,0
192,7.0,0.5,5.0,12,0.97,0
192,7.0,0.5,5.0,12,0.98,0
192,7.0,0.5,5.0,12,0.99,0
192,7.0,0.5,5.0,16,0.95,0
192,7.0,0.5,5.0,16,0.96,0
192,7.0,0.5,5.0,16,0.97,0
192,7.0,0.5,5.0,16,0.98,0
192,7.0,0.5,5.0,16,0.99,0
192,7.0,0.5,5.0,20,0.95,0
192,7.0,0.5,5.0,20,0.96,0
192,7.0,0.5,5.0,20,0.97,0
192,7.0,0.5,5.0,20,0.98,0
192,7.0,0.5,5.0,20,0.99,0
192,7.0,0.5,5.0,24,0.95,0
192,7.0,0.5,5.0,24,0.96,0
192,7.0,0.5,5.0,24,0.97,0
192,7.0,0.5,5.0,24,0.98,0
192,7.0,0.5,5.0,24,0.99,0
192,7.0,0.5,5.0,28,0.95,0
192,7.0,0.5,5.0,28,0.96,0
192,7.0,0.5,5.0,28,0.97,0
192,7.0,0.5,5.0,28,0.98,0
192,7.0,0.5,5.0,28,0.99,0
192,7.0,0.5,5.0,32,0.95,0
192,7.0,0.5,5.0,32,0.96,0
192,7.0,0.5,5.0,32,0.97,0
192,7.0,0.5,5.0,32,0.98,0
193,7.0,0.5,5.0,32,0.99,0
504,7.0,0.5,6.0,8,0.95,0
504,7.0,0.5,6.0,8,0.96,0
504,7.0,0.5,6.0,8,0.97,0
504,7.0,0.5,6.0,8,0.98,0
507,7.0,0.5,6.0,8,0.99,0
504,7.0,0.5,6.0,12,0.95,0
503,7.0,0.5,6.0,12,0.96,0
504,7.0,0.5,6.0,12,0.97,0
503,7.0,0.5,6.0,12,0.98,0
507,7.0,0.5,6.0,12,0.99,0
507,7.0,0.5,6.0,16,0.95,0
506,7.0,0.5,6.0,16,0.96,0
508,7.0,0.5,6.0,16,0.97,0
511,7.0,0.5,6.0,16,0.98,0
512,7.0,0.5,6.0,16,0.99,0
513,7.0,0.5,6.0,20,0.95,0
222,7.0,0.5,6.0,20,0.96,0
221,7.0,0.5,6.0,20,0.97,0
219,7.0,0.5,6.0,20,0.98,0
218,7.0,0.5,6.0,20,0.99,0
222,7.0,0.5,6.0,24,0.95,0
222,7.0,0.5,6.0,24,0.96,0
219,7.0,0.5,6.0,24,0.97,0
218,7.0,0.5,6.0,24,0.98,0
217,7.0,0.5,6.0,24,0.99,0
224,7.0,0.5,6.0,28,0.95,0
220,7.0,0.5,6.0,28,0.96,0
218,7.0,0.5,6.0,28,0.97,0
199,7.0,0.5,6.0,28,0.98,0
217,7.0,0.5,6.0,28,0.99,0
221,7.0,0.5,6.0,32,0.95,0
219,7.0,0.5,6.0,32,0.96,0
201,7.0,0.5,6.0,32,0.97,0
196,7.0,0.5,6.0,32,0.98,0
195,7.0,0.5,6.0,32,0.99,0
200,7.0,0.5,7.0,8,0.95,0
200,7.0,0.5,7.0,8,0.96,0
200,7.0,0.5,7.0,8,0.97,0
200,7.0,0.5,7.0,8,0.98,0
200,7.0,0.5,7.0,8,0.99,0
482,7.0,0.5,7.0,12,0.95,0
483,7.0,0.5,7.0,12,0.96,0
483,7.0,0.5,7.0,12,0.97,0
483,7.0,0.5,7.0,12,0.98,0
483,7.0,0.5,7.0,12,0.99,0
479,7.0,0.5,7.0,16,0.95,0
478,7.0,0.5,7.0,16,0.96,0
477,7.0,0.5,7.0,16,0.97,0
477,7.0,0.5,7.0,16,0.98,0
477,7.0,0.5,7.0,16,0.99,0
473,7.0,0.5,7.0,20,0.95,0
477,7.0,0.5,7.0,20,0.96,0
478,7.0,0.5,7.0,20,0.97,0
476,7.0,0.5,7.0,20,0.98,0
481,7.0,0.5,7.0,20,0.99,0
471,7.0,0.5,7.0,24,0.95,0
476,7.0,0.5,7.0,24,0.96,0
477,7.0,0.5,7.0,24,0.97,0
476,7.0,0.5,7.0,24,0.98,0
482,7.0,0.5,7.0,24,0.99,0
473,7.0,0.5,7.0,28,0.95,0
479,7.0,0.5,7.0,28,0.96,0
480,7.0,0.5,7.0,28,0.97,0
225,7.0,0.5,7.0,28,0.98,0
223,7.0,0.5,7.0,28,0.99,0
476,7.0,0.5,7.0,32,0.95,0
227,7.0,0.5,7.0,32,0.96,0
226,7.0,0.5,7.0,32,0.97,0
202,7.0,0.5,7.0,32,0.98,0
198,7.0,0.5,7.0,32,0.99,0
